,Item1,Item2,support,conf,lift
238,ulundu full white 1kg,vendiyam 100gm,0.039866075873742905,0.6855736301369862,14.587321964969817
240,ulundu full white 1kg,sugar 1kg,0.09473016031066414,1.6290667808219177,14.243741586500834
241,ulundu full white 1kg,gold winner refined sunflower oil 1l,0.03370506820671114,0.5796232876712328,14.431129043897592
242,ulundu white broken 100gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.8277945619335347,26.507902066156998
243,ulundu white broken 100gm,tata salt 1kg,0.04628845962361844,1.2484055052030882,26.032154661312465
245,ulundu white broken 100gm,pacha pairu yellow 500gm,0.03289604699790899,0.8872104733131922,25.61338062086781
246,ulundu white broken 100gm,kadala parupu 500gm,0.039903415314149156,1.076200067136623,26.170162891654005
247,ulundu white broken 100gm,pottukadalai 250gm,0.04330130439111819,1.1678415575696541,24.672380252794188
248,ulundu white broken 100gm,pottukadalai 500gm,0.03226127651100269,0.8700906344410876,24.807154696073365
249,ulundu white broken 100gm,toor dhal 500gm,0.039928308274419996,1.0768714333669016,23.352269485136397
250,ulundu white broken 100gm,toor dhal 1kg,0.05583490988748382,1.5058744545149378,22.484292357098713
252,ulundu white broken 100gm,ulundu full white 1kg,0.0478069302001394,1.289358845250084,22.172998087066084
254,ulundu white broken 100gm,jeeragam 50gm,0.033505924524544456,0.9036589459550184,23.60324263777958
255,ulundu white broken 100gm,jeeragam 100gm,0.0393682166683262,1.0617656931856327,24.06389361165204
258,ulundu white broken 100gm,pepper black 50gm,0.03288360051777357,0.8868747901980529,24.836203605323234
259,ulundu white broken 100gm,pepper black 100gm,0.030892163696106742,0.8331654917757637,24.183471196254317
260,ulundu white broken 100gm,vendiyam 100gm,0.039866075873742905,1.075193017791205,22.877464995078544
262,ulundu white broken 100gm,sugar 1kg,0.09473016031066414,2.5548841893252767,22.338623931564918
263,ulundu white broken 100gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.9090298757972473,22.63250583856648
264,jeeragam 50gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.8016905071521456,25.671989679805495
265,jeeragam 50gm,tata salt 1kg,0.04628845962361844,1.2090377113133939,25.211244712629984
267,jeeragam 50gm,pacha pairu yellow 500gm,0.03289604699790899,0.8592327698309492,24.80567648555436
268,jeeragam 50gm,kadala parupu 500gm,0.039903415314149156,1.042262678803641,25.34490092790549
269,jeeragam 50gm,pottukadalai 250gm,0.04330130439111819,1.1310143042912875,23.894350056265896
270,jeeragam 50gm,pottukadalai 500gm,0.03226127651100269,0.8426527958387516,24.024874460208895
271,jeeragam 50gm,toor dhal 500gm,0.039928308274419996,1.0429128738621587,22.615868269252704
272,jeeragam 50gm,toor dhal 1kg,0.05583490988748382,1.4583875162548765,21.775262331533504
274,jeeragam 50gm,ulundu full white 1kg,0.0478069302001394,1.248699609882965,21.473784558312698
275,jeeragam 50gm,ulundu white broken 100gm,0.03282136811709648,0.8572821846553965,23.121006996963132
277,jeeragam 50gm,jeeragam 100gm,0.0393682166683262,1.0282834850455136,23.305051712975107
280,jeeragam 50gm,pepper black 50gm,0.03288360051777357,0.8589076723016905,24.053007327782158
281,jeeragam 50gm,pepper black 100gm,0.030892163696106742,0.8068920676202861,23.420858482978417
282,jeeragam 50gm,vendiyam 100gm,0.039866075873742905,1.0412873862158647,22.15603648255494
284,jeeragam 50gm,sugar 1kg,0.09473016031066414,2.4743172951885564,21.634187481187222
285,jeeragam 50gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.8803641092327698,21.918801980848357
286,jeeragam 100gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.6956276445698167,22.27561079127834
287,jeeragam 100gm,tata salt 1kg,0.04628845962361844,1.049083215796897,21.875821928363848
289,jeeragam 100gm,pacha pairu yellow 500gm,0.03289604699790899,0.7455571227080395,21.523909977310357
290,jeeragam 100gm,kadala parupu 500gm,0.039903415314149156,0.9043723554301834,21.991795558317992
291,jeeragam 100gm,pottukadalai 250gm,0.04330130439111819,0.9813822284908322,20.733151134858645
292,jeeragam 100gm,pottukadalai 500gm,0.03226127651100269,0.7311706629055008,20.846407289027525
293,jeeragam 100gm,toor dhal 500gm,0.039928308274419996,0.9049365303244007,19.623811226014478
294,jeeragam 100gm,toor dhal 1kg,0.05583490988748382,1.265444287729196,18.894416623920186
296,jeeragam 100gm,ulundu full white 1kg,0.0478069302001394,1.0834978843441467,18.63282406244566
297,jeeragam 100gm,ulundu white broken 100gm,0.03282136811709648,0.7438645980253878,20.062120598775348
298,jeeragam 100gm,jeeragam 50gm,0.033505924524544456,0.759379407616361,19.83471362988586
302,jeeragam 100gm,pepper black 50gm,0.03288360051777357,0.7452750352609309,20.870818205996596
303,jeeragam 100gm,pepper black 100gm,0.030892163696106742,0.7001410437235543,20.322302029236003
304,jeeragam 100gm,vendiyam 100gm,0.039866075873742905,0.9035260930888576,19.224814730702114
306,jeeragam 100gm,sugar 1kg,0.09473016031066414,2.1469675599435827,18.77200583699066
307,jeeragam 100gm,gold winner refined sunflower oil 1l,0.03370506820671114,0.7638928067700987,19.018966119348253
308,kadugu small 100gm,britannia milk bikis biscuits rs.10,0.03069302001394006,0.9539651837524178,30.548178048387506
309,kadugu small 100gm,tata salt 1kg,0.04628845962361844,1.4386847195357833,29.999918273133396
311,kadugu small 100gm,pacha pairu yellow 500gm,0.03289604699790899,1.0224371373307544,29.517315616853082
312,kadugu small 100gm,kadala parupu 500gm,0.039903415314149156,1.2402321083172145,30.15896141363144
313,kadugu small 100gm,pottukadalai 250gm,0.04330130439111819,1.3458413926499033,28.432890047610787
314,kadugu small 100gm,pottukadalai 500gm,0.03226127651100269,1.0027079303675048,28.588206514353022
315,kadugu small 100gm,toor dhal 500gm,0.039928308274419996,1.2410058027079305,26.911570907629137
316,kadugu small 100gm,toor dhal 1kg,0.05583490988748382,1.7353965183752418,25.9112986196507
318,kadugu small 100gm,ulundu full white 1kg,0.0478069302001394,1.4858800773694392,25.552557563392597
319,kadugu small 100gm,ulundu white broken 100gm,0.03282136811709648,1.0201160541586072,27.512656681879534
